"word","type","correct_reponse","stim","button_real","button_false"
"enorme","non_cognate",1,85,"REAL","FALSA"
"cuenco","non_cognate",1,86,"REAL","FALSA"
"muleta","non_cognate",1,87,"REAL","FALSA"
"percha","non_cognate",1,88,"REAL","FALSA"
"muñeca","non_cognate",1,89,"REAL","FALSA"
"venado","non_cognate",1,90,"REAL","FALSA"
"equipo","non_cognate",1,91,"REAL","FALSA"
"flecha","non_cognate",1,92,"REAL","FALSA"
"tapa","non_cognate",1,93,"REAL","FALSA"
"forro","non_cognate",1,94,"REAL","FALSA"
"listo","non_cognate",1,95,"REAL","FALSA"
"caro","non_cognate",1,96,"REAL","FALSA"
"nocita","pseudoword",0,97,"REAL","FALSA"
"martir","pseudoword",0,98,"REAL","FALSA"
"bugor","pseudoword",0,99,"REAL","FALSA"
"épinas","pseudoword",0,100,"REAL","FALSA"
"losco","pseudoword",0,101,"REAL","FALSA"
"coyo","pseudoword",0,102,"REAL","FALSA"
"vueras","pseudoword",0,103,"REAL","FALSA"
"estulo","pseudoword",0,104,"REAL","FALSA"
"peniz","pseudoword",0,105,"REAL","FALSA"
"diebro","pseudoword",0,106,"REAL","FALSA"
"plago","pseudoword",0,107,"REAL","FALSA"
"jauda","pseudoword",0,108,"REAL","FALSA"
"laras","pseudoword",0,109,"REAL","FALSA"
"densó","pseudoword",0,110,"REAL","FALSA"
"monue","pseudoword",0,111,"REAL","FALSA"
"samón","pseudoword",0,112,"REAL","FALSA"
"nasce","pseudoword",0,113,"REAL","FALSA"
"dibrea","pseudoword",0,114,"REAL","FALSA"
"lidena","pseudoword",0,115,"REAL","FALSA"
"grigir","pseudoword",0,116,"REAL","FALSA"
"morrá","pseudoword",0,117,"REAL","FALSA"
"bará","pseudoword",0,118,"REAL","FALSA"
"esís","pseudoword",0,119,"REAL","FALSA"
"mauja","pseudoword",0,120,"REAL","FALSA"
"barbs","pseudoword",0,121,"REAL","FALSA"
"boñaz","pseudoword",0,122,"REAL","FALSA"
"arane","pseudoword",0,123,"REAL","FALSA"
"lobe","pseudoword",0,124,"REAL","FALSA"
"ceme","pseudoword",0,125,"REAL","FALSA"
"tobre","pseudoword",0,126,"REAL","FALSA"
"vien","pseudoword",0,127,"REAL","FALSA"
"pelí","pseudoword",0,128,"REAL","FALSA"
"vinzó","pseudoword",0,129,"REAL","FALSA"
"dubo","pseudoword",0,130,"REAL","FALSA"
"fuar","pseudoword",0,131,"REAL","FALSA"
"nocó","pseudoword",0,132,"REAL","FALSA"
"conso","pseudoword",0,133,"REAL","FALSA"
"molor","pseudoword",0,134,"REAL","FALSA"
"panté","pseudoword",0,135,"REAL","FALSA"
"hueas","pseudoword",0,136,"REAL","FALSA"
"trugo","pseudoword",0,137,"REAL","FALSA"
"tator","pseudoword",0,138,"REAL","FALSA"
"sasos","pseudoword",0,139,"REAL","FALSA"
"chorde","pseudoword",0,140,"REAL","FALSA"
"virios","pseudoword",0,141,"REAL","FALSA"
"parre","pseudoword",0,142,"REAL","FALSA"
"hurcos","pseudoword",0,143,"REAL","FALSA"
"diroco","pseudoword",0,144,"REAL","FALSA"
"rúo","pseudoword",0,145,"REAL","FALSA"
"gió","pseudoword",0,146,"REAL","FALSA"
"alla","pseudoword",0,147,"REAL","FALSA"
"gino","pseudoword",0,148,"REAL","FALSA"
"emén","pseudoword",0,149,"REAL","FALSA"
"cricó","pseudoword",0,150,"REAL","FALSA"
"prías","pseudoword",0,151,"REAL","FALSA"
"prave","pseudoword",0,152,"REAL","FALSA"
"golla","pseudoword",0,153,"REAL","FALSA"
"harvé","pseudoword",0,154,"REAL","FALSA"
"kugis","pseudoword",0,155,"REAL","FALSA"
"ozoso","pseudoword",0,156,"REAL","FALSA"
"seled","pseudoword",0,157,"REAL","FALSA"
"babrá","pseudoword",0,158,"REAL","FALSA"
"trcia","pseudoword",0,159,"REAL","FALSA"
"fomeó","pseudoword",0,160,"REAL","FALSA"
"civas","pseudoword",0,161,"REAL","FALSA"
"cengo","pseudoword",0,162,"REAL","FALSA"
"llzan","pseudoword",0,163,"REAL","FALSA"
"tecia","pseudoword",0,164,"REAL","FALSA"
"chote","pseudoword",0,165,"REAL","FALSA"
"anfia","pseudoword",0,166,"REAL","FALSA"
"dobbo","pseudoword",0,167,"REAL","FALSA"
"cobén","pseudoword",0,168,"REAL","FALSA"
"pitis","pseudoword",0,169,"REAL","FALSA"
"diabo","pseudoword",0,170,"REAL","FALSA"
"gotro","pseudoword",0,171,"REAL","FALSA"
"dogue","pseudoword",0,172,"REAL","FALSA"
"mibro","pseudoword",0,173,"REAL","FALSA"
"pabea","pseudoword",0,174,"REAL","FALSA"
"tradía","pseudoword",0,175,"REAL","FALSA"
"gripar","pseudoword",0,176,"REAL","FALSA"
"entodo","pseudoword",0,177,"REAL","FALSA"
"inichó","pseudoword",0,178,"REAL","FALSA"
"suelet","pseudoword",0,179,"REAL","FALSA"
"pupica","pseudoword",0,180,"REAL","FALSA"
"gravés","pseudoword",0,181,"REAL","FALSA"
"desaro","pseudoword",0,182,"REAL","FALSA"
"edioso","pseudoword",0,183,"REAL","FALSA"
"huenos","pseudoword",0,184,"REAL","FALSA"
"aljizo","pseudoword",0,185,"REAL","FALSA"
"rizate","pseudoword",0,186,"REAL","FALSA"
"nomata","pseudoword",0,187,"REAL","FALSA"
"amplir","pseudoword",0,188,"REAL","FALSA"
"medium","pseudoword",0,189,"REAL","FALSA"
"asumie","pseudoword",0,190,"REAL","FALSA"
"frasis","pseudoword",0,191,"REAL","FALSA"
"próces","pseudoword",0,192,"REAL","FALSA"
