"","participant","source","word","type","correct_reponse","key_resp_lextale_trial.keys","key_resp_lextale_trial.corr","key_resp_lextale_trial.rt","group","is_correct","log_rt"
"1","5a06ebf2c259f300017656ee","5a06ebf2c259f300017656ee_empathy_intonation_perc_2025-04-30_10h01.31.083.csv","medium","pseudoword","0","1","0",1.888,"L3_group",0,0.635518067723309
"2","5a06ebf2c259f300017656ee","5a06ebf2c259f300017656ee_empathy_intonation_perc_2025-04-30_10h01.31.083.csv","cuenco","non_cognate","1","1","0",1.535,"L3_group",1,0.42853038103916
"3","5a06ebf2c259f300017656ee","5a06ebf2c259f300017656ee_empathy_intonation_perc_2025-04-30_10h01.31.083.csv","patada","non_cognate","1","1","0",1.223,"L3_group",1,0.201306856705035
"4","5a06ebf2c259f300017656ee","5a06ebf2c259f300017656ee_empathy_intonation_perc_2025-04-30_10h01.31.083.csv","nomata","pseudoword","0","0","1",1.816,"L3_group",1,0.596636280179102
"5","5a06ebf2c259f300017656ee","5a06ebf2c259f300017656ee_empathy_intonation_perc_2025-04-30_10h01.31.083.csv","tiza","non_cognate","1","1","0",0.832,"L3_group",1,-0.183922838160928
"6","5a06ebf2c259f300017656ee","5a06ebf2c259f300017656ee_empathy_intonation_perc_2025-04-30_10h01.31.083.csv","bugor","pseudoword","0","0","1",0.668,"L3_group",1,-0.403467105445491
"7","5a06ebf2c259f300017656ee","5a06ebf2c259f300017656ee_empathy_intonation_perc_2025-04-30_10h01.31.083.csv","entodo","pseudoword","0","1","0",0.527,"L3_group",0,-0.640554730440775
"8","5a06ebf2c259f300017656ee","5a06ebf2c259f300017656ee_empathy_intonation_perc_2025-04-30_10h01.31.083.csv","kugis","pseudoword","0","1","0",0.651,"L3_group",0,-0.429245636773568
"9","5a06ebf2c259f300017656ee","5a06ebf2c259f300017656ee_empathy_intonation_perc_2025-04-30_10h01.31.083.csv","altar","three_way_cognate","1","1","0",0.567,"L3_group",1,-0.567395975254385
"10","5a06ebf2c259f300017656ee","5a06ebf2c259f300017656ee_empathy_intonation_perc_2025-04-30_10h01.31.083.csv","listo","non_cognate","1","1","0",0.624,"L3_group",1,-0.471604910612709
"11","5a06ebf2c259f300017656ee","5a06ebf2c259f300017656ee_empathy_intonation_perc_2025-04-30_10h01.31.083.csv","torta","non_cognate","1","1","0",0.78,"L3_group",1,-0.2484613592985
"12","5a06ebf2c259f300017656ee","5a06ebf2c259f300017656ee_empathy_intonation_perc_2025-04-30_10h01.31.083.csv","nasce","pseudoword","0","0","1",0.65,"L3_group",1,-0.430782916092454
"13","5a06ebf2c259f300017656ee","5a06ebf2c259f300017656ee_empathy_intonation_perc_2025-04-30_10h01.31.083.csv","chat","three_way_cognate","1","0","1",0.663,"L3_group",0,-0.410980288796275
