key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,word,correct_response,button_real,button_false,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt
1,0,5.2882,0,0,0,34,1,35,rompido,0,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
1,1,1.4906,0,1,1,59,1,60,matar,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
0,0,6.7647,0,2,2,14,1,15,regar,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
0,0,2.3644,0,3,3,63,1,64,orgulloso,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
0,1,1.1352,0,4,4,32,1,33,pauca,0,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
0,1,3.2022,0,5,5,16,1,17,floroso,0,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
0,1,1.771,0,6,6,18,1,19,brecedad,0,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
1,1,0.5447,0,7,7,4,1,5,zapato,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
0,0,1.036,0,8,8,27,1,28,merodear,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
1,1,0.5551,0,9,9,66,1,67,cabello,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
1,1,0.5889,0,10,10,85,1,86,barato,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
0,0,1.3638,0,11,11,1,1,2,pellizcar,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
0,0,0.6747,0,12,12,55,1,56,musgo,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
1,0,0.7345,0,13,13,28,1,29,decar,0,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
0,0,0.8258,0,14,14,72,1,73,hervidor,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
1,1,0.8754,0,15,15,30,1,31,pandilla,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
1,1,0.5101,0,16,16,35,1,36,loro,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
0,0,0.96,0,17,17,37,1,38,estornudar,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
1,1,1.4937,0,18,18,74,1,75,yacer,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
1,0,1.5095,0,19,19,57,1,58,plaudir,0,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
1,1,3.117,0,20,20,54,1,55,nevar,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
1,1,0.9631,0,21,21,2,1,3,pulmones,1,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
1,0,1.1339,0,22,22,15,1,16,abracer,0,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
1,0,0.5504,0,23,23,9,1,10,antar,0,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
0,1,0.8748,0,24,24,31,1,32,fatacidad,0,REAL,FAKE,dirvid,Mexican,2022-03-17_12h12.15.101,lextale_sp,2021.2.3,Win32,118.652112,,
