key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,word,correct_response,button_real,button_false,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt
0,1,7.4504,0,0,0,17,1,18,arsa,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,0,5.0272,0,1,1,28,1,29,decar,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,0,2.7755,0,2,2,73,1,74,cintro,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,1,3.9294,0,3,3,69,1,70,temblo,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,2.0057,0,4,4,45,1,46,martillo,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,0,4.3374,0,5,5,9,1,10,antar,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,1.2083,0,6,6,48,1,49,ganar,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,2.564,0,7,7,61,1,62,flaco,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,1.1772,0,8,8,4,1,5,zapato,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,1.0749,0,9,9,54,1,55,nevar,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,1,4.977,0,10,10,71,1,72,pemición,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,1,3.2956,0,11,11,29,1,30,alardio,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,1.1111,0,12,12,85,1,86,barato,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,1.296,0,13,13,14,1,15,regar,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,2.3144,0,14,14,12,1,13,helar,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,2.1517,0,15,15,44,1,45,jilguero,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,1.9384,0,16,16,89,1,90,clavel,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,1,1.9133,0,17,17,83,1,84,escuto,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,1.2253,0,18,18,33,1,34,aviso,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,3.0984,0,19,19,87,1,88,acantilado,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,1.9611,0,20,20,2,1,3,pulmones,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,1.5843,0,21,21,42,1,43,canela,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,1.3675,0,22,22,64,1,65,bizcocho,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,3.6168,0,23,23,80,1,81,pozo,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,2.4105,0,24,24,27,1,28,merodear,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,2.4867,0,25,25,75,1,76,atar,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,1.8869,0,26,26,5,1,6,tergiversar,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,1.4936,0,27,27,38,1,39,torpe,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,1.3282,0,28,28,1,1,2,pellizcar,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,1,1.1459,0,29,29,32,1,33,pauca,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,0.9572,0,30,30,84,1,85,laúd,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,1.0067,0,31,31,51,1,52,camisa,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,2.2773,0,32,32,23,1,24,látigo,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,1.5073,0,33,33,74,1,75,yacer,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,1,2.1867,0,34,34,41,1,42,cadallo,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,1.2339,0,35,35,39,1,40,alfombra,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,1,1.8533,0,36,36,86,1,87,grodo,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,0,1.3331,0,37,37,3,1,4,batillón,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,2.0759,0,38,38,56,1,57,tacaño,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,1.2504,0,39,39,47,1,48,ladrón,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,1.9243,0,40,40,88,1,89,prisa,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,1,1.883,0,41,41,66,1,67,cabello,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,1.3579,0,42,42,19,1,20,ávido,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,1.6923,0,43,43,24,1,25,bisagra,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,1.8605,0,44,44,68,1,69,engatusar,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,1,1.6281,0,45,45,57,1,58,plaudir,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
1,0,2.7533,0,46,46,34,1,35,rompido,0,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
0,0,2.2023,0,47,47,77,1,78,frondoso,1,REAL,FAKE,60b9af795939f976cb74232a,latin american,2022-03-11_23h25.44.354,lextale_sp,2021.2.3,Win32,23.99232246,,
