key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,word,correct_response,button_real,button_false,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt
1,1,3.464,0,0,0,39,1,40,alfombra,1,REAL,FAKE,60fe4c46e72a8b28dc55d376,,2022-03-12_19h52.49.691,lextale_sp,2021.2.3,Win32,60.0240096,,
1,1,1.3957,0,1,1,4,1,5,zapato,1,REAL,FAKE,60fe4c46e72a8b28dc55d376,,2022-03-12_19h52.49.691,lextale_sp,2021.2.3,Win32,60.0240096,,
1,1,1.198,0,2,2,53,1,54,fomentar,1,REAL,FAKE,60fe4c46e72a8b28dc55d376,,2022-03-12_19h52.49.691,lextale_sp,2021.2.3,Win32,60.0240096,,
0,0,2.2617,0,3,3,37,1,38,estornudar,1,REAL,FAKE,60fe4c46e72a8b28dc55d376,,2022-03-12_19h52.49.691,lextale_sp,2021.2.3,Win32,60.0240096,,
1,1,2.3827,0,4,4,59,1,60,matar,1,REAL,FAKE,60fe4c46e72a8b28dc55d376,,2022-03-12_19h52.49.691,lextale_sp,2021.2.3,Win32,60.0240096,,
1,1,0.7147,0,5,5,48,1,49,ganar,1,REAL,FAKE,60fe4c46e72a8b28dc55d376,,2022-03-12_19h52.49.691,lextale_sp,2021.2.3,Win32,60.0240096,,
1,1,3.7308,0,6,6,6,1,7,pésimo,1,REAL,FAKE,60fe4c46e72a8b28dc55d376,,2022-03-12_19h52.49.691,lextale_sp,2021.2.3,Win32,60.0240096,,
0,1,4.6648,0,7,7,46,1,47,cartinar,0,REAL,FAKE,60fe4c46e72a8b28dc55d376,,2022-03-12_19h52.49.691,lextale_sp,2021.2.3,Win32,60.0240096,,
1,1,1.5648,0,8,8,79,1,80,hormiga,1,REAL,FAKE,60fe4c46e72a8b28dc55d376,,2022-03-12_19h52.49.691,lextale_sp,2021.2.3,Win32,60.0240096,,
1,1,5.4808,0,9,9,70,1,71,polvoriento,1,REAL,FAKE,60fe4c46e72a8b28dc55d376,,2022-03-12_19h52.49.691,lextale_sp,2021.2.3,Win32,60.0240096,,
