key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,word,correct_response,button_real,button_false,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt
0,0,1.9685,0,0,0,37,1,38,estornudar,1,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
0,1,1.0365,0,1,1,86,1,87,grodo,0,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
0,0,1.4495,0,2,2,44,1,45,jilguero,1,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
1,1,1.731,0,3,3,55,1,56,musgo,1,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
0,0,1.2491,0,4,4,8,1,9,hacha,1,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
1,0,1.0986,0,5,5,3,1,4,batillón,0,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
1,0,0.8823,0,6,6,73,1,74,cintro,0,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
0,1,0.9532,0,7,7,78,1,79,tropaje,0,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
1,1,1.3625,0,8,8,2,1,3,pulmones,1,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
1,0,1.1541,0,9,9,81,1,82,empirador,0,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
0,0,0.7863,0,10,10,80,1,81,pozo,1,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
1,0,0.8535,0,11,11,65,1,66,hacido,0,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
1,1,0.7851,0,12,12,59,1,60,matar,1,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
0,1,0.9988,0,13,13,29,1,30,alardio,0,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
1,1,0.6225,0,14,14,48,1,49,ganar,1,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
1,1,0.7926,0,15,15,42,1,43,canela,1,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
0,0,1.475,0,16,16,5,1,6,tergiversar,1,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
1,1,0.7711,0,17,17,88,1,89,prisa,1,REAL,FAKE,61132361275e08754e30c2db,Mexican Spanish,2022-03-16_18h51.14.955,lextale_sp,2021.2.3,Linux aarch64,59.99880002,,
