key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,word,correct_response,button_real,button_false,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt
1,1,24.121,0,0,0,12,1,13,helar,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,1.901,0,1,1,82,1,83,guante,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,1,1.545,0,2,2,17,1,18,arsa,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,0.944,0,3,3,85,1,86,barato,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,0.914,0,4,4,89,1,90,clavel,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,1,1.008,0,5,5,78,1,79,tropaje,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,0,2.817,0,6,6,29,1,30,alardio,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,0,0.874,0,7,7,26,1,27,acutación,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,0,0.823,0,8,8,28,1,29,decar,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,0,1.243,0,9,9,0,1,1,terzo,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,0.928,0,10,10,40,1,41,rebuscar,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,2.282,0,11,11,54,1,55,nevar,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,1.563,0,12,12,21,1,22,lacayo,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,0.859,0,13,13,67,1,68,alegre,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,0.869,0,14,14,2,1,3,pulmones,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,0.849,0,15,15,77,1,78,frondoso,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,0,0.857,0,16,16,81,1,82,empirador,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,0,1.142,0,17,17,62,1,63,esposante,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,1.119,0,18,18,42,1,43,canela,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,1,1.791,0,19,19,9,1,10,antar,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,1.758,0,20,20,50,1,51,candado,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,0.848,0,21,21,51,1,52,camisa,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,1.053,0,22,22,24,1,25,bisagra,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,1.065,0,23,23,60,1,61,seda,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,1.067,0,24,24,45,1,46,martillo,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,0.782,0,25,25,6,1,7,pésimo,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,0,1.643,0,26,26,31,1,32,fatacidad,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,1.41,0,27,27,13,1,14,yunque,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,0.747,0,28,28,61,1,62,flaco,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,0,0.622,0,29,29,65,1,66,hacido,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,1.568,0,30,30,35,1,36,loro,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,1,1.045,0,31,31,83,1,84,escuto,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,0.812,0,32,32,39,1,40,alfombra,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,1.063,0,33,33,63,1,64,orgulloso,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,0.858,0,34,34,75,1,76,atar,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,0.673,0,35,35,88,1,89,prisa,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,1.767,0,36,36,87,1,88,acantilado,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,1,1.666,0,37,37,46,1,47,cartinar,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,0.878,0,38,38,53,1,54,fomentar,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,1.802,0,39,39,23,1,24,látigo,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,1,2.707,0,40,40,3,1,4,batillón,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,0.695,0,41,41,43,1,44,cuchara,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,1,1.457,0,42,42,71,1,72,pemición,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,1.005,0,43,43,33,1,34,aviso,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,1.034,0,44,44,76,1,77,tiburón,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,1.505,0,45,45,80,1,81,pozo,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,1.151,0,46,46,84,1,85,laúd,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,1,0.831,0,47,47,86,1,87,grodo,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,1,1.263,0,48,48,52,1,53,vegada,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,2.175,0,49,49,70,1,71,polvoriento,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,1.231,0,50,50,27,1,28,merodear,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,1.022,0,51,51,55,1,56,musgo,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,2.758,0,52,52,19,1,20,ávido,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,1.208,0,53,53,10,1,11,cenefa,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,0,1.186,0,54,54,22,1,23,lampera,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,1,1.285,0,55,55,32,1,33,pauca,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
0,0,2.283,0,56,56,44,1,45,jilguero,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,1,0.967,0,57,57,66,1,67,cabello,1,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
1,0,1.223,0,58,58,34,1,35,rompido,0,REAL,FAKE,5fad9934e0f4c3142fda0cb3,Mexican,2022-03-24_12h08.17.411,lextale_sp,2021.2.3,MacIntel,18.18181818,,
