key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,word,correct_response,button_real,button_false,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate
0,0,14.792005,0,0,0,84,1,85,laúd,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,11.01071,0,1,1,11,1,12,asesinato,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,1.83912,0,2,2,4,1,5,zapato,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,14.334635,0,3,3,67,1,68,alegre,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,2.413195,0,4,4,61,1,62,flaco,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,23.13926,0,5,5,72,1,73,hervidor,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
0,1,9.912345,0,6,6,52,1,53,vegada,0,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,2.60068,0,7,7,66,1,67,cabello,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
0,0,14.68999,0,8,8,77,1,78,frondoso,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,14.11357,0,9,9,87,1,88,acantilado,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,2.71792,0,10,10,35,1,36,loro,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,6.06595,0,11,11,39,1,40,alfombra,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,4.11992,0,12,12,60,1,61,seda,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
0,1,5.2166,0,13,13,71,1,72,pemición,0,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,4.04331,0,14,14,50,1,51,candado,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,0,1.74135,0,15,15,20,1,21,capillo,0,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,0,8.18243,0,16,16,18,1,19,brecedad,0,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,0,3.83527,0,17,17,34,1,35,rompido,0,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
0,0,7.067855,0,18,18,27,1,28,merodear,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,0,4.033925,0,19,19,46,1,47,cartinar,0,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,5.368435,0,20,20,21,1,22,lacayo,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,0,1.218375,0,21,21,22,1,23,lampera,0,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,1.12249,0,22,22,85,1,86,barato,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
0,1,2.80617,0,23,23,32,1,33,pauca,0,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,0,1.381355,0,24,24,15,1,16,abracer,0,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,4.659445,0,25,25,79,1,80,hormiga,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,0,2.063265,0,26,26,73,1,74,cintro,0,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
1,1,1.38922,0,27,27,47,1,48,ladrón,1,REAL,FAKE,5e647d0ce35c88208fdbbb06,"Mexico, Cuba",2022-03-14_14h50.09.411,lextale_sp,2021.2.3,Linux armv7l,58.3668943
