key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,word,correct_response,button_real,button_false,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt
1,1,1.9921,0,0,0,35,1,36,loro,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,1.7979,0,1,1,33,1,34,aviso,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,0,3.4835,0,2,2,60,1,61,seda,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,0,1.3165,0,3,3,65,1,66,hacido,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,0,1.8322,0,4,4,19,1,20,ávido,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,0,1.1811,0,5,5,21,1,22,lacayo,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,0,2.4435,0,6,6,8,1,9,hacha,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,0,0.8115,0,7,7,74,1,75,yacer,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,0,2.1252,0,8,8,86,1,87,grodo,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,0,1.3431,0,9,9,27,1,28,merodear,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,0,1.7672,0,10,10,20,1,21,capillo,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,0,2.0155,0,11,11,26,1,27,acutación,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,0,1.3501,0,12,12,1,1,2,pellizcar,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,1,1.1935,0,13,13,9,1,10,antar,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,0,1.8099,0,14,14,0,1,1,terzo,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,0,2.1622,0,15,15,32,1,33,pauca,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,0.8,0,16,16,85,1,86,barato,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,0,0.828,0,17,17,12,1,13,helar,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,0,5.1512,0,18,18,37,1,38,estornudar,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,0,1.1107,0,19,19,5,1,6,tergiversar,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,1.4598,0,20,20,89,1,90,clavel,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,1,3.2003,0,21,21,31,1,32,fatacidad,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,0,2.0007,0,22,22,15,1,16,abracer,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,1.6994,0,23,23,14,1,15,regar,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,1.5109,0,24,24,66,1,67,cabello,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,0,4.2671,0,25,25,3,1,4,batillón,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,0,1.3268,0,26,26,23,1,24,látigo,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,1.1924,0,27,27,2,1,3,pulmones,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,0.7983,0,28,28,25,1,26,secuestro,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,1.4944,0,29,29,87,1,88,acantilado,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,1.8113,0,30,30,76,1,77,tiburón,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,1.5262,0,31,31,13,1,14,yunque,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,0.7131,0,32,32,51,1,52,camisa,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,0.9665,0,33,33,54,1,55,nevar,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,0.8004,0,34,34,50,1,51,candado,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,1,0.9607,0,35,35,83,1,84,escuto,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,0,0.8832,0,36,36,24,1,25,bisagra,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,1,0.8503,0,37,37,88,1,89,prisa,1,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,1,0.811,0,38,38,57,1,58,plaudir,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
0,1,1.109,0,39,39,52,1,53,vegada,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
1,0,1.0024,0,40,40,22,1,23,lampera,0,REAL,FAKE,60fda6c3daea14c8cf2b91cc,Mexican/Central American,2022-03-24_05h08.12.122,lextale_sp,2021.2.3,MacIntel,60.0024001,,
