prolific_id,age,gender,dominant_1,dominant_3,dominant_3,L1,L2,L3,education,german_subregion,other_languages,L1_aoo,L1_aoa,german_speaking_level,german_perception_level,english_aoo,english_aoa,time_abroad_english,english_speaking_level,english_comprehension,spanish_aoo,spanish_aoa,time_abroad_spanish,spanish_speaking_level,spanish_comprehension_level
60fca8c2feed564e3039aeaf,23,Female,German,English,Spanish,German,English,Spanish,College,Hessen,"Russian, learned from my family who is Ukrainian ",3,5,10 - perfect,10 - perfect,8,16,5 months,8 - very good,9 - excellent,21,23,2 months,6 - slightly more than adequate,6 - slightly more than adequate
5a0acda16e1ea9000124e675,29,Female,German,English,Spanisch,German,English,Spanish,Masters,Lower Saxony,"I learned French for 5 or 6 years at school. At university I had two semesters of Dutch and three semesters of Swedish. I'm similarly fluent in all of these languages, I can understand written texts and basic conversation, but I can still improve a lot in my written and spoken skills.",0,2,9 - excellent,9 - excellent,8,20,2 months,7 - good,8 - very good,16,I'm not fluent in Spanish,0 months,2 - low,3 - fair
6046ac1161b60d0fc94b0000,30,Male,German,English,Spanish,German,English,Spanish,Masters,Schleswig-Holstein,"Japanese, Very beginner level which I learned in self-study and a 2-weeks stay abroad",1,6,9 - excellent,9 - excellent,7,17,1 month,8 - very good,8 - very good,14,16,0,2 - low,2 - low
5e09a01ba2c69625cd2fefb8,27,Male,german,english,spanish,german,english,spanish,Professional Training,western germany,"french, learned in school",2,7,10 - perfect,10 - perfect,10,24,2 months,8 - very good,9 - excellent,never ,never,0,0 - none,0 - none
5ec7ce2dd402d6256c260e0d,29,Male,English,German,Spanish,German,Spanish,English,College,Bavaria,Japanese (B1 level),0,5,10 - perfect,10 - perfect,7,10,4 years,10 - perfect,10 - perfect,0,5,6 months,9 - excellent,9 - excellent
5ec7ce2dd402d6256c260e0d,29,Male,English,German,Spanish,German,Spanish,English,College,Bavaria,Japanese (B1),0,4,10 - perfect,10 - perfect,7,9,4 years,10 - perfect,10 - perfect,0,5,6 months,10 - perfect,10 - perfect
5a1542e20fff620001a6d2dc,46,Male,German,English,Spanish,Spanish,German,English,Some Graduate School,Mainz (but grew up in Hannover),"French (in German high school from 7th to 13th grade on, would rate as B1 today), Dutch (starting at the age of 22, at German university, I have a bachelor degree in Dutch philology)",4,6,10 - perfect,10 - perfect,7,16,6 months,8 - very good,8 - very good,0,6,6 years,6 - slightly more than adequate,6 - slightly more than adequate
6156c03beb47b00976ab809f,44,Female,German,English,Spanish,German,English,Spanish,Masters,Saxony,no,0,4,9 - excellent,9 - excellent,12,19,1 year and 1 month,7 - good,8 - very good,18,24,4 months,3 - fair,4 - slightly less than adequate
5cd92deab1fa6200018df415,27,Male,German,English,Spanish,German,English,Spanish,College,South West,no,0,5,10 - perfect,10 - perfect,5,19,1 year,8 - very good,10 - perfect,15,never,0,2 - low,3 - fair
60fd3574955a2ca75409573c,25,Female,german,english,spanish,german,english,spanish,Professional Training,hamburg,no i dont know any other languages,1,5,9 - excellent,9 - excellent,8,14,0,7 - good,7 - good,14,-,0,1 - very low,1 - very low
5b0564479649530001a3946c,36,Female,German,English,Spanish,German,English,Spanish,Masters,Baden Württemberg,French level B2; I learned it in highschool,1,3,9 - excellent,9 - excellent,11,25,2,7 - good,7 - good,15,-,0,3 - fair,3 - fair
